Field Name,Data Types
barcode,str
brandCode,str
competitiveProduct,bool
competitorRewardsGroup,str
deleted,bool
description,str
discountedItemPrice,str
finalPrice,str
itemNumber,str
itemPrice,str
metabriteCampaignId,str
needsFetchReview,bool
needsFetchReviewReason,str
originalFinalPrice,str
originalMetaBriteBarcode,str
originalMetaBriteDescription,str
originalMetaBriteItemPrice,str
originalMetaBriteQuantityPurchased,int
originalReceiptItemText,str
partnerItemId,str
pointsEarned,str
pointsNotAwardedReason,str
pointsPayerId,str
preventTargetGapPoints,bool
priceAfterCoupon,str
quantityPurchased,int
rewardsGroup,str
rewardsProductPartnerId,str
targetPrice,str
userFlaggedBarcode,str
userFlaggedDescription,str
userFlaggedNewItem,bool
userFlaggedPrice,str
userFlaggedQuantity,int
